venta_id,fecha,hora,cliente_id,producto_id,cantidad,precio_unitario,subtotal,descuento_aplicado,total,fecha_carga,fuente_dato,nombre_producto,categoria,precio_catalogo,nombre_cliente,apellido,ciudad,es_premium,diferencia_precio,descuento_valor,categoria_venta
VEN0016,2025-02-04,19:49,CLI039,PROD024,5,45.19,225.95,0.1,203.36,2026-03-22 19:31:25,ventas,Cortinas Blackout,Hogar,45.19,Isabel,Martínez,Sevilla,True,0.0,22.595,Alta
VEN0017,2025-02-26,09:50,CLI073,PROD026,1,10.92,10.92,0.0,10.92,2026-03-22 19:31:25,ventas,Lámpara Mesa,Hogar,10.92,Javier,Pérez,Bilbao,False,0.0,0.0,Baja
VEN0018,2025-02-12,16:27,CLI085,PROD033,3,33.46,100.38,0.1,90.34,2026-03-22 19:31:25,ventas,Pesas 2kg Par,Deportes,33.46,Beatriz,Fernández,Madrid,True,0.0,10.038,Media
VEN0019,2025-02-03,16:41,CLI044,PROD011,1,22.58,22.58,0.0,22.58,2026-03-22 19:31:25,ventas,Camiseta Básica,Ropa,22.58,María,Díaz,Sevilla,False,0.0,0.0,Baja
VEN0020,2025-02-28,14:52,CLI063,PROD007,1,29.21,29.21,0.0,29.21,2026-03-22 19:31:25,ventas,Memoria USB 32GB,Electrónica,29.21,Antonio,Sánchez,Sevilla,False,0.0,0.0,Baja
VEN0021,2025-02-14,13:40,CLI059,PROD018,2,16.64,33.28,0.1,29.95,2026-03-22 19:31:25,ventas,Bufanda Lana,Ropa,16.64,Juan,Pérez,Bilbao,True,0.0,3.3280000000000003,Baja
VEN0022,2025-02-14,10:46,CLI067,PROD022,3,11.31,33.93,0.0,33.93,2026-03-22 19:31:25,ventas,Toallas Pack 4,Hogar,11.31,Ana,Martínez,Zaragoza,False,0.0,0.0,Baja
VEN0023,2025-02-20,20:58,CLI069,PROD023,4,42.83,171.32,0.1,154.19,2026-03-22 19:31:25,ventas,Cojín Decorativo,Hogar,42.83,Javier,Torres,Barcelona,True,0.0,17.132,Alta
VEN0024,2025-02-15,14:52,CLI094,PROD013,5,48.42,242.1,0.1,217.89,2026-03-22 19:31:25,ventas,Sudadera con Capucha,Ropa,48.42,Fernando,Fernández,Bilbao,True,0.0,24.21,Alta
VEN0025,2025-02-09,13:54,CLI032,PROD039,1,34.09,34.09,0.0,34.09,2026-03-22 19:31:25,ventas,Rodilleras,Deportes,34.09,Isabel,Jiménez,Madrid,False,0.0,0.0,Baja
VEN0026,2025-02-09,15:15,CLI097,PROD021,4,13.24,52.96,0.1,47.66,2026-03-22 19:31:25,ventas,Juego Sábanas,Hogar,13.24,Javier,Díaz,Sevilla,True,0.0,5.296,Baja
VEN0027,2025-02-19,17:42,CLI049,PROD039,3,34.09,102.27,0.0,102.27,2026-03-22 19:31:25,ventas,Rodilleras,Deportes,34.09,Juan,Ramírez,Valencia,False,0.0,0.0,Media
VEN0028,2025-02-01,15:54,CLI042,PROD020,2,47.03,94.06,0.0,94.06,2026-03-22 19:31:25,ventas,Cinturón Cuero,Ropa,47.03,Isabel,López,Zaragoza,False,0.0,0.0,Media
VEN0029,2025-02-16,11:22,CLI034,PROD013,3,48.42,145.26,0.1,130.73,2026-03-22 19:31:25,ventas,Sudadera con Capucha,Ropa,48.42,Javier,Ramírez,Murcia,True,0.0,14.526,Media
VEN0030,2025-02-09,17:44,CLI036,PROD028,5,49.38,246.9,0.0,246.9,2026-03-22 19:31:25,ventas,Reloj Pared,Hogar,49.38,Elena,García,Madrid,False,0.0,0.0,Alta
VEN0031,2025-02-01,16:12,CLI011,PROD019,2,40.98,81.96,0.0,81.96,2026-03-22 19:31:25,ventas,Guantes Invierno,Ropa,40.98,Pedro,Díaz,Madrid,False,0.0,0.0,Media
VEN0032,2025-02-24,14:31,CLI072,PROD028,2,49.38,98.76,0.0,98.76,2026-03-22 19:31:25,ventas,Reloj Pared,Hogar,49.38,Roberto,Pérez,Barcelona,False,0.0,0.0,Media
VEN0033,2025-02-23,15:41,CLI092,PROD021,4,13.24,52.96,0.1,47.66,2026-03-22 19:31:25,ventas,Juego Sábanas,Hogar,13.24,Laura,López,Sevilla,True,0.0,5.296,Baja
VEN0034,2025-02-15,20:01,CLI012,PROD037,3,15.72,47.16,0.0,47.16,2026-03-22 19:31:25,ventas,Mochila Deportiva,Deportes,15.72,Antonio,García,Barcelona,False,0.0,0.0,Baja
VEN0035,2025-02-08,14:44,CLI032,PROD047,3,19.89,59.67,0.0,59.67,2026-03-22 19:31:25,ventas,Cómic Aventuras,Libros,19.89,Isabel,Jiménez,Madrid,False,0.0,0.0,Media
VEN0036,2025-02-22,17:23,CLI061,PROD049,5,13.49,67.45,0.1,60.71,2026-03-22 19:31:25,ventas,Poesía Clásica,Libros,13.49,Ana,López,Málaga,True,0.0,6.745000000000001,Media
VEN0037,2025-02-17,13:27,CLI096,PROD030,5,19.67,98.35,0.0,98.35,2026-03-22 19:31:25,ventas,Velas Aromáticas Pack 3,Hogar,19.67,Antonio,García,Málaga,False,0.0,0.0,Media
VEN0038,2025-02-11,13:44,CLI059,PROD041,3,15.73,47.19,0.1,42.47,2026-03-22 19:31:25,ventas,Novela Misterio,Libros,15.73,Juan,Pérez,Bilbao,True,0.0,4.719,Baja
VEN0039,2025-02-10,12:14,CLI016,PROD001,2,56.56,113.12,0.1,101.81,2026-03-22 19:31:25,ventas,Auriculares Bluetooth,Electrónica,56.56,Carmen,Díaz,Bilbao,True,0.0,11.312000000000001,Media
VEN0040,2025-02-11,09:47,CLI069,PROD011,2,22.58,45.16,0.1,40.64,2026-03-22 19:31:25,ventas,Camiseta Básica,Ropa,22.58,Javier,Torres,Barcelona,True,0.0,4.516,Baja
VEN0041,2025-02-07,11:47,CLI062,PROD044,3,32.83,98.49,0.1,88.64,2026-03-22 19:31:25,ventas,Biografía Histórica,Libros,32.83,Carmen,López,Barcelona,True,0.0,9.849,Media
VEN0042,2025-02-24,17:48,CLI068,PROD025,5,32.25,161.25,0.0,161.25,2026-03-22 19:31:25,ventas,Alfombra Sala,Hogar,32.25,Carlos,Martínez,Bilbao,False,0.0,0.0,Alta
VEN0043,2025-02-10,09:53,CLI025,PROD011,3,22.58,67.74,0.1,60.97,2026-03-22 19:31:25,ventas,Camiseta Básica,Ropa,22.58,Miguel,Rodríguez,Bilbao,True,0.0,6.774,Media
VEN0044,2025-02-08,13:11,CLI039,PROD033,1,33.46,33.46,0.1,30.11,2026-03-22 19:31:25,ventas,Pesas 2kg Par,Deportes,33.46,Isabel,Martínez,Sevilla,True,0.0,3.346,Baja
VEN0045,2025-02-23,16:08,CLI036,PROD045,1,31.91,31.91,0.0,31.91,2026-03-22 19:31:25,ventas,Manual Python,Libros,31.91,Elena,García,Madrid,False,0.0,0.0,Baja
VEN0046,2025-02-02,16:18,CLI090,PROD027,2,17.57,35.14,0.0,35.14,2026-03-22 19:31:25,ventas,Espejo Pared,Hogar,17.57,Diego,González,Murcia,False,0.0,0.0,Baja
VEN0047,2025-02-21,21:48,CLI063,PROD045,1,31.91,31.91,0.0,31.91,2026-03-22 19:31:25,ventas,Manual Python,Libros,31.91,Antonio,Sánchez,Sevilla,False,0.0,0.0,Baja
VEN0048,2025-02-28,08:36,CLI037,PROD011,4,22.58,90.32,0.1,81.29,2026-03-22 19:31:25,ventas,Camiseta Básica,Ropa,22.58,Beatriz,Jiménez,Valencia,True,0.0,9.032,Media
VEN0049,2025-02-16,15:21,CLI024,PROD013,1,48.42,48.42,0.0,48.42,2026-03-22 19:31:25,ventas,Sudadera con Capucha,Ropa,48.42,Javier,Sánchez,Barcelona,False,0.0,0.0,Baja
VEN0050,2025-02-09,21:30,CLI015,PROD007,1,29.21,29.21,0.1,26.29,2026-03-22 19:31:25,ventas,Memoria USB 32GB,Electrónica,29.21,Laura,Ruiz,Murcia,True,0.0,2.9210000000000003,Baja
VEN0051,2025-02-13,15:04,CLI074,PROD026,1,10.92,10.92,0.0,10.92,2026-03-22 19:31:25,ventas,Lámpara Mesa,Hogar,10.92,Fernando,López,Sevilla,False,0.0,0.0,Baja
VEN0052,2025-02-05,10:51,CLI073,PROD022,3,11.31,33.93,0.0,33.93,2026-03-22 19:31:25,ventas,Toallas Pack 4,Hogar,11.31,Javier,Pérez,Bilbao,False,0.0,0.0,Baja
VEN0053,2025-02-03,11:07,CLI072,PROD047,4,19.89,79.56,0.0,79.56,2026-03-22 19:31:25,ventas,Cómic Aventuras,Libros,19.89,Roberto,Pérez,Barcelona,False,0.0,0.0,Media
VEN0054,2025-02-20,17:50,CLI080,PROD001,2,56.56,113.12,0.1,101.81,2026-03-22 19:31:25,ventas,Auriculares Bluetooth,Electrónica,56.56,Luis,Sánchez,Sevilla,True,0.0,11.312000000000001,Media
VEN0055,2025-02-25,16:24,CLI058,PROD009,4,27.92,111.68,0.1,100.51,2026-03-22 19:31:25,ventas,Adaptador HDMI,Electrónica,27.92,Carlos,Jiménez,Málaga,True,0.0,11.168000000000001,Media
VEN0056,2025-02-10,21:37,CLI055,PROD028,3,49.38,148.14,0.1,133.33,2026-03-22 19:31:25,ventas,Reloj Pared,Hogar,49.38,Fernando,García,Barcelona,True,0.0,14.814,Media
VEN0057,2025-02-19,17:03,CLI079,PROD011,1,22.58,22.58,0.1,20.32,2026-03-22 19:31:25,ventas,Camiseta Básica,Ropa,22.58,Luis,Díaz,Málaga,True,0.0,2.258,Baja
VEN0058,2025-02-25,11:40,CLI028,PROD034,3,42.78,128.34,0.0,128.34,2026-03-22 19:31:25,ventas,Cuerda Saltar,Deportes,42.78,Laura,Rodríguez,Valencia,False,0.0,0.0,Media
VEN0059,2025-02-22,09:10,CLI031,PROD027,2,17.57,35.14,0.1,31.63,2026-03-22 19:31:25,ventas,Espejo Pared,Hogar,17.57,Pedro,Rodríguez,Murcia,True,0.0,3.5140000000000002,Baja
VEN0060,2025-02-18,09:10,CLI001,PROD044,4,32.83,131.32,0.1,118.19,2026-03-22 19:31:25,ventas,Biografía Histórica,Libros,32.83,Javier,Jiménez,Bilbao,True,0.0,13.132,Media
VEN0061,2025-02-15,19:38,CLI061,PROD006,3,17.07,51.21,0.1,46.09,2026-03-22 19:31:25,ventas,Cargador Portátil,Electrónica,17.07,Ana,López,Málaga,True,0.0,5.121,Baja
VEN0062,2025-02-02,11:18,CLI091,PROD027,3,17.57,52.71,0.1,47.44,2026-03-22 19:31:25,ventas,Espejo Pared,Hogar,17.57,Diego,González,Málaga,True,0.0,5.271000000000001,Baja
VEN0063,2025-02-23,21:29,CLI010,PROD036,2,15.99,31.98,0.0,31.98,2026-03-22 19:31:25,ventas,Guantes Gym,Deportes,15.99,Beatriz,Torres,Sevilla,False,0.0,0.0,Baja
VEN0064,2025-02-09,20:50,CLI081,PROD048,5,21.47,107.35,0.1,96.62,2026-03-22 19:31:25,ventas,Enciclopedia Natural,Libros,21.47,Carlos,Sánchez,Murcia,True,0.0,10.735,Media
VEN0065,2025-02-22,20:59,CLI026,PROD028,4,49.38,197.52,0.1,177.77,2026-03-22 19:31:25,ventas,Reloj Pared,Hogar,49.38,Juan,García,Bilbao,True,0.0,19.752000000000002,Alta
VEN0066,2025-02-04,16:14,CLI083,PROD010,2,60.59,121.18,0.1,109.06,2026-03-22 19:31:25,ventas,Lámpara LED,Electrónica,60.59,Antonio,Rodríguez,Sevilla,True,0.0,12.118000000000002,Media
VEN0067,2025-02-09,21:09,CLI010,PROD042,1,30.13,30.13,0.0,30.13,2026-03-22 19:31:25,ventas,Libro Cocina,Libros,30.13,Beatriz,Torres,Sevilla,False,0.0,0.0,Baja
VEN0068,2025-02-06,20:19,CLI077,PROD002,5,63.2,316.0,0.1,284.4,2026-03-22 19:31:25,ventas,Mouse Inalámbrico,Electrónica,63.2,Raquel,Fernández,Murcia,True,0.0,31.6,Alta
VEN0069,2025-02-10,15:07,CLI060,PROD040,3,33.96,101.88,0.0,101.88,2026-03-22 19:31:25,ventas,Cronómetro Digital,Deportes,33.96,Diego,Morales,Valencia,False,0.0,0.0,Media
VEN0070,2025-02-23,14:17,CLI065,PROD013,5,48.42,242.1,0.1,217.89,2026-03-22 19:31:25,ventas,Sudadera con Capucha,Ropa,48.42,Sofía,Rodríguez,Málaga,True,0.0,24.21,Alta
VEN0071,2025-02-16,15:05,CLI077,PROD044,1,32.83,32.83,0.1,29.55,2026-03-22 19:31:25,ventas,Biografía Histórica,Libros,32.83,Raquel,Fernández,Murcia,True,0.0,3.283,Baja
VEN0072,2025-02-14,19:20,CLI078,PROD012,3,25.35,76.05,0.1,68.44,2026-03-22 19:31:25,ventas,Jeans Clásicos,Ropa,25.35,Beatriz,Fernández,Valencia,True,0.0,7.605,Media
VEN0073,2025-02-01,09:14,CLI087,PROD022,5,11.31,56.55,0.0,56.55,2026-03-22 19:31:25,ventas,Toallas Pack 4,Hogar,11.31,Raquel,Torres,Bilbao,False,0.0,0.0,Media
VEN0074,2025-02-19,08:48,CLI087,PROD014,3,45.51,136.53,0.0,136.53,2026-03-22 19:31:25,ventas,Zapatillas Deportivas,Ropa,45.51,Raquel,Torres,Bilbao,False,0.0,0.0,Media
VEN0075,2025-02-19,08:48,CLI097,PROD018,2,16.64,33.28,0.1,29.95,2026-03-22 19:31:25,ventas,Bufanda Lana,Ropa,16.64,Javier,Díaz,Sevilla,True,0.0,3.3280000000000003,Baja
VEN0076,2025-02-16,16:41,CLI057,PROD005,3,20.65,61.95,0.0,61.95,2026-03-22 19:31:25,ventas,Cable USB-C,Electrónica,20.65,Javier,López,Madrid,False,0.0,0.0,Media
VEN0077,2025-02-06,17:27,CLI082,PROD031,4,39.19,156.76,0.0,156.76,2026-03-22 19:31:25,ventas,Botella Agua 1L,Deportes,39.19,Raquel,Rodríguez,Sevilla,False,0.0,0.0,Alta
VEN0078,2025-02-03,15:22,CLI053,PROD015,3,25.34,76.02,0.0,76.02,2026-03-22 19:31:25,ventas,Chaqueta Impermeable,Ropa,25.34,Elena,Flores,Valencia,False,0.0,0.0,Media
VEN0079,2025-02-11,18:06,CLI021,PROD018,3,16.64,49.92,0.1,44.93,2026-03-22 19:31:25,ventas,Bufanda Lana,Ropa,16.64,Carlos,Morales,Málaga,True,0.0,4.992000000000001,Baja
VEN0080,2025-02-14,19:31,CLI037,PROD021,4,13.24,52.96,0.1,47.66,2026-03-22 19:31:25,ventas,Juego Sábanas,Hogar,13.24,Beatriz,Jiménez,Valencia,True,0.0,5.296,Baja
VEN0081,2025-02-27,20:35,CLI005,PROD009,4,27.92,111.68,0.1,100.51,2026-03-22 19:31:25,ventas,Adaptador HDMI,Electrónica,27.92,Beatriz,González,Madrid,True,0.0,11.168000000000001,Media
VEN0082,2025-02-03,13:16,CLI042,PROD009,1,27.92,27.92,0.0,27.92,2026-03-22 19:31:25,ventas,Adaptador HDMI,Electrónica,27.92,Isabel,López,Zaragoza,False,0.0,0.0,Baja
VEN0083,2025-02-25,14:55,CLI066,PROD039,1,34.09,34.09,0.0,34.09,2026-03-22 19:31:25,ventas,Rodilleras,Deportes,34.09,Carmen,Pérez,Bilbao,False,0.0,0.0,Baja
VEN0084,2025-02-22,21:34,CLI060,PROD038,4,19.45,77.8,0.0,77.8,2026-03-22 19:31:25,ventas,Toalla Microfibra,Deportes,19.45,Diego,Morales,Valencia,False,0.0,0.0,Media
VEN0085,2025-02-02,11:33,CLI047,PROD014,5,45.51,227.55,0.0,227.55,2026-03-22 19:31:25,ventas,Zapatillas Deportivas,Ropa,45.51,Roberto,Flores,Madrid,False,0.0,0.0,Alta
VEN0086,2025-02-25,15:40,CLI057,PROD018,1,16.64,16.64,0.0,16.64,2026-03-22 19:31:25,ventas,Bufanda Lana,Ropa,16.64,Javier,López,Madrid,False,0.0,0.0,Baja
VEN0087,2025-02-07,12:35,CLI017,PROD036,3,15.99,47.97,0.0,47.97,2026-03-22 19:31:25,ventas,Guantes Gym,Deportes,15.99,Luis,Rodríguez,Málaga,False,0.0,0.0,Baja
VEN0088,2025-02-15,19:31,CLI016,PROD024,1,45.19,45.19,0.1,40.67,2026-03-22 19:31:25,ventas,Cortinas Blackout,Hogar,45.19,Carmen,Díaz,Bilbao,True,0.0,4.519,Baja
VEN0089,2025-02-21,17:51,CLI031,PROD049,2,13.49,26.98,0.1,24.28,2026-03-22 19:31:25,ventas,Poesía Clásica,Libros,13.49,Pedro,Rodríguez,Murcia,True,0.0,2.6980000000000004,Baja
VEN0090,2025-02-10,16:00,CLI071,PROD046,4,15.32,61.28,0.0,61.28,2026-03-22 19:31:25,ventas,Libro Autoayuda,Libros,15.32,Miguel,Rodríguez,Barcelona,False,0.0,0.0,Media
VEN0091,2025-02-03,11:53,CLI015,PROD039,4,34.09,136.36,0.1,122.72,2026-03-22 19:31:25,ventas,Rodilleras,Deportes,34.09,Laura,Ruiz,Murcia,True,0.0,13.636000000000003,Media
VEN0092,2025-02-04,18:53,CLI020,PROD049,4,13.49,53.96,0.1,48.56,2026-03-22 19:31:25,ventas,Poesía Clásica,Libros,13.49,Ana,Martínez,Madrid,True,0.0,5.396000000000001,Baja
VEN0093,2025-02-23,12:32,CLI091,PROD048,3,21.47,64.41,0.1,57.97,2026-03-22 19:31:25,ventas,Enciclopedia Natural,Libros,21.47,Diego,González,Málaga,True,0.0,6.441,Media
VEN0094,2025-02-14,21:30,CLI061,PROD019,2,40.98,81.96,0.1,73.76,2026-03-22 19:31:25,ventas,Guantes Invierno,Ropa,40.98,Ana,López,Málaga,True,0.0,8.196,Media
VEN0095,2025-02-15,16:09,CLI050,PROD030,2,19.67,39.34,0.0,39.34,2026-03-22 19:31:25,ventas,Velas Aromáticas Pack 3,Hogar,19.67,Roberto,Sánchez,Málaga,False,0.0,0.0,Baja
VEN0096,2025-02-20,16:47,CLI018,PROD048,1,21.47,21.47,0.0,21.47,2026-03-22 19:31:25,ventas,Enciclopedia Natural,Libros,21.47,Juan,Sánchez,Sevilla,False,0.0,0.0,Baja
VEN0097,2025-02-09,20:50,CLI054,PROD038,3,19.45,58.35,0.0,58.35,2026-03-22 19:31:25,ventas,Toalla Microfibra,Deportes,19.45,Pedro,Ramírez,Murcia,False,0.0,0.0,Media
VEN0098,2025-02-26,16:17,CLI001,PROD009,3,27.92,83.76,0.1,75.38,2026-03-22 19:31:25,ventas,Adaptador HDMI,Electrónica,27.92,Javier,Jiménez,Bilbao,True,0.0,8.376000000000001,Media
VEN0099,2025-02-24,12:53,CLI076,PROD017,5,16.91,84.55,0.0,84.55,2026-03-22 19:31:25,ventas,Calcetines Pack 3,Ropa,16.91,Luis,González,Sevilla,False,0.0,0.0,Media
VEN0100,2025-02-22,15:55,CLI020,PROD023,4,42.83,171.32,0.1,154.19,2026-03-22 19:31:25,ventas,Cojín Decorativo,Hogar,42.83,Ana,Martínez,Madrid,True,0.0,17.132,Alta
VEN0101,2025-02-18,15:22,CLI043,PROD013,5,48.42,242.1,0.1,217.89,2026-03-22 19:31:25,ventas,Sudadera con Capucha,Ropa,48.42,María,García,Murcia,True,0.0,24.21,Alta
VEN0102,2025-02-25,16:24,CLI059,PROD006,3,17.07,51.21,0.1,46.09,2026-03-22 19:31:25,ventas,Cargador Portátil,Electrónica,17.07,Juan,Pérez,Bilbao,True,0.0,5.121,Baja
VEN0103,2025-02-28,11:44,CLI031,PROD016,5,57.95,289.75,0.1,260.78,2026-03-22 19:31:25,ventas,Gorra Deportiva,Ropa,57.95,Pedro,Rodríguez,Murcia,True,0.0,28.975,Alta
VEN0104,2025-02-13,11:54,CLI100,PROD032,4,22.96,91.84,0.1,82.66,2026-03-22 19:31:25,ventas,Yoga Mat,Deportes,22.96,Laura,Torres,Madrid,True,0.0,9.184000000000001,Media
VEN0105,2025-02-02,13:47,CLI061,PROD011,4,22.58,90.32,0.1,81.29,2026-03-22 19:31:25,ventas,Camiseta Básica,Ropa,22.58,Ana,López,Málaga,True,0.0,9.032,Media
VEN0106,2025-02-13,18:50,CLI084,PROD049,2,13.49,26.98,0.1,24.28,2026-03-22 19:31:25,ventas,Poesía Clásica,Libros,13.49,Juan,Flores,Bilbao,True,0.0,2.6980000000000004,Baja
VEN0107,2025-02-16,08:08,CLI065,PROD010,5,60.59,302.95,0.1,272.65,2026-03-22 19:31:25,ventas,Lámpara LED,Electrónica,60.59,Sofía,Rodríguez,Málaga,True,0.0,30.295,Alta
VEN0108,2025-02-11,21:06,CLI057,PROD039,1,34.09,34.09,0.0,34.09,2026-03-22 19:31:25,ventas,Rodilleras,Deportes,34.09,Javier,López,Madrid,False,0.0,0.0,Baja
VEN0109,2025-02-17,15:00,CLI093,PROD030,2,19.67,39.34,0.0,39.34,2026-03-22 19:31:25,ventas,Velas Aromáticas Pack 3,Hogar,19.67,Sofía,Martínez,Bilbao,False,0.0,0.0,Baja
VEN0110,2025-02-14,21:41,CLI020,PROD014,1,45.51,45.51,0.1,40.96,2026-03-22 19:31:25,ventas,Zapatillas Deportivas,Ropa,45.51,Ana,Martínez,Madrid,True,0.0,4.551,Baja
VEN0111,2025-02-16,20:16,CLI044,PROD043,5,16.69,83.45,0.0,83.45,2026-03-22 19:31:25,ventas,Guía Viajes Europa,Libros,16.69,María,Díaz,Sevilla,False,0.0,0.0,Media
VEN0112,2025-02-23,14:41,CLI011,PROD022,3,11.31,33.93,0.0,33.93,2026-03-22 19:31:25,ventas,Toallas Pack 4,Hogar,11.31,Pedro,Díaz,Madrid,False,0.0,0.0,Baja
VEN0113,2025-02-28,18:54,CLI069,PROD024,4,45.19,180.76,0.1,162.68,2026-03-22 19:31:25,ventas,Cortinas Blackout,Hogar,45.19,Javier,Torres,Barcelona,True,0.0,18.076,Alta
VEN0114,2025-02-11,18:45,CLI098,PROD027,4,17.57,70.28,0.0,70.28,2026-03-22 19:31:25,ventas,Espejo Pared,Hogar,17.57,Carmen,Rodríguez,Murcia,False,0.0,0.0,Media
VEN0115,2025-02-28,16:02,CLI080,PROD038,1,19.45,19.45,0.1,17.5,2026-03-22 19:31:25,ventas,Toalla Microfibra,Deportes,19.45,Luis,Sánchez,Sevilla,True,0.0,1.945,Baja
VEN0116,2025-02-08,18:43,CLI037,PROD033,2,33.46,66.92,0.1,60.23,2026-03-22 19:31:25,ventas,Pesas 2kg Par,Deportes,33.46,Beatriz,Jiménez,Valencia,True,0.0,6.692,Media
VEN0117,2025-02-24,09:27,CLI013,PROD006,1,17.07,17.07,0.1,15.36,2026-03-22 19:31:25,ventas,Cargador Portátil,Electrónica,17.07,Diego,García,Sevilla,True,0.0,1.707,Baja
VEN0118,2025-02-15,10:44,CLI039,PROD037,1,15.72,15.72,0.1,14.15,2026-03-22 19:31:25,ventas,Mochila Deportiva,Deportes,15.72,Isabel,Martínez,Sevilla,True,0.0,1.572,Baja
VEN0119,2025-02-02,13:50,CLI008,PROD033,3,33.46,100.38,0.1,90.34,2026-03-22 19:31:25,ventas,Pesas 2kg Par,Deportes,33.46,Ana,Ramírez,Zaragoza,True,0.0,10.038,Media
VEN0120,2025-02-12,13:27,CLI019,PROD024,2,45.19,90.38,0.1,81.34,2026-03-22 19:31:25,ventas,Cortinas Blackout,Hogar,45.19,Ana,Torres,Sevilla,True,0.0,9.038,Media
VEN0121,2025-02-17,14:36,CLI088,PROD018,2,16.64,33.28,0.0,33.28,2026-03-22 19:31:25,ventas,Bufanda Lana,Ropa,16.64,Pedro,Ramírez,Murcia,False,0.0,0.0,Baja
VEN0122,2025-02-06,10:05,CLI079,PROD030,4,19.67,78.68,0.1,70.81,2026-03-22 19:31:25,ventas,Velas Aromáticas Pack 3,Hogar,19.67,Luis,Díaz,Málaga,True,0.0,7.868000000000001,Media
VEN0123,2025-02-20,18:15,CLI064,PROD042,5,30.13,150.65,0.1,135.58,2026-03-22 19:31:25,ventas,Libro Cocina,Libros,30.13,Luis,Morales,Sevilla,True,0.0,15.065000000000001,Media
VEN0124,2025-02-05,11:29,CLI082,PROD016,3,57.95,173.85,0.0,173.85,2026-03-22 19:31:25,ventas,Gorra Deportiva,Ropa,57.95,Raquel,Rodríguez,Sevilla,False,0.0,0.0,Alta
VEN0125,2025-02-15,12:42,CLI002,PROD003,4,29.51,118.04,0.1,106.24,2026-03-22 19:31:25,ventas,Teclado Mecánico,Electrónica,29.51,Laura,Díaz,Murcia,True,0.0,11.804000000000002,Media
